Mot n°	form	Variante de lemme	lemma	pos	Constellation	Mode Validation	#	A	Ai	Ao	Aq	C	Cc	Cs	D	Da	Dd	Di	Dn	Dp	Dr	Ds	Dt	E	F	Fs	Fw	I	Nc	Np	OUT	P	PAGa	PAGe	Pd	Pi	Pp	Pr	Ps	Pt	R	S	S+D	S+Da	S+Dr	S+Pr	V	Vu	Vuc	Vun	Vvc	Vvn	X	Xe	Xp	Xs	Z	Zc	Zo	Inconnu
#0	#	./in/corpus//Periode 1/Saulsaye v1 0	./in/corpus//Periode 1/Saulsaye v1 0	#		VA/DS	./in/corpus//Periode 1/Saulsaye v1 0																																																					
#1	_X_							_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_		_X_	_X_	_X_	_X_	_X_	_X_	_X_		_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_			_X_	_X_	_X_	_X_		_X_	_X_		_X_	
2	SAULSAYE	SAUSSAIE	SAUSSAIE	Nc		VM/DS																							SAUSSAIE																															
3	.	.	.	Fs		VM/DS																				.																																		
4	EGLOGUE	ÉGLOGUE	ÉGLOGUE	Nc		VM/DS																							ÉGLOGUE																															
5	0	0	0	Fw		VM/DS																					0																																	
6	DE	DE	DE	S		VM/DS													UN	DU																						DE																		
7	LA	LE	LE	Da		VM/DS										LE													LA								LE				LÀ																			
8	VIE	VIE	VIE	Nc		VM/DS																							VIE																															
9	SOLITAIRE	SOLITAIRE	SOLITAIRE	Aq		VM/DS					SOLITAIRE																																																	
10	.	.	.	Fs		VM/DS																				.																																		
11	A	À	À	S		VM/DS																																				À						AVOIR	AVOIR											
12	LYON	LYON	LYON	Np		VM/DS																							LION	LYON																														
13	0	0	0	Fw		VM/DS																					0																																	
14	Par	PAR	PAR	S		VM/DS																																				PAR																		
15	*Jean	JEAN	JEAN	Np		VM/DS																								JEAN																														
16	*de	DE	DE	Np		VM/DS																								DE																														
17	*Tournes	TOURNES	TOURNES	Np		VM/DS																								TOURNES																														
18	.	.	.	Fs		VM/DS																				.																																		
19	1547	1547	1547	Zc		VM/DS																																																				1547		
20	.	.	.	Fs		VM/DS																				.																																		
21	SAULSAYE	SAUSSAIE	SAUSSAIE	Nc		VM/DS																							SAUSSAIE																															
22	.	.	.	Fs		VM/DS																				.																																		
23	EGLOGUE	ÉGLOGUE	ÉGLOGUE	Nc		VM/DS																							ÉGLOGUE																															
24	.	.	.	Fs		VM/DS																				.																																		
25	ANTIRE	ANTIRE	ANTIRE	Np		VM/DS					ENTIER																		RÉ/ENTERRÉ	ANTIRE				ENTERRER																	ENTERRER			_MOT_ETRANGER						
26	0	0	0	Fw		VM/DS																					0																																	
27	PHILERME	PHILERME	PHILERME	Np		VM/DS																								PHILERME																						FILER								
28	.	.	.	Fs		VM/DS																				.																																		
29	Non	NON	NON	R		VM/DS																																			NON																			
30	sans	SANS	SANS	S		VM/DS																																				SANS																		
31	raison	RAISON	RAISON	Nc		VM/DS																							RAISON																															
32	je	JE	IL	Pp		VM/DE																															IL																							
33	me	LE	LE	Pp		VM/DS																															LE																							
34	suis	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE		SUIVRE									
