	Mot n°	form	Variante de lemme	lemma	pos	Constellation	Mode Validation	#	A	Ai	Ao	Aq	C	Cc	Cs	D	Da	Dd	Di	Dn	Dp	Dr	Ds	Dt	E	F	Fs	Fw	I	Nc	Np	OUT	P	PAGa	PAGe	Pd	Pi	Pp	Pr	Ps	Pt	R	S	S+D	S+Da	S+Dr	S+Pr	V	Vu	Vuc	Vun	Vvc	Vvn	X	Xe	Xp	Xs	Z	Zc	Zo	Inconnu
0	#1	_X_							_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_		_X_	_X_	_X_	_X_	_X_	_X_	_X_		_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_	_X_			_X_	_X_	_X_	_X_		_X_	_X_		_X_	
1	2	SAULSAYE	SAUSSAIE	SAUSSAIE	NOMcom		VM/DS																							SAUSSAIE																															
2	3	.	.	.	PONfrt		VM/DS																				.																																		
3	4	EGLOGUE	ÉGLOGUE	ÉGLOGUE	NOMcom		VM/DS																							ÉGLOGUE																															
4	5	0	0	0	PONfbl		VM/DS																					0																																	
5	6	DE	DE	DE	S		VM/DS													UN	DU																						DE																		
6	7	LA	LE	LE	DETdef		VM/DS										LE													LA								LE				LÀ																			
7	8	VIE	VIE	VIE	NOMcom		VM/DS																							VIE																															
8	9	SOLITAIRE	SOLITAIRE	SOLITAIRE	Aq		VM/DS					SOLITAIRE																																																	
9	10	.	.	.	PONfrt		VM/DS																				.																																		
10	11	A	À	À	S		VM/DS																																				À						AVOIR	AVOIR											
11	12	LYON	LYON	LYON	NOMpro		VM/DS																							LION	LYON																														
12	13	0	0	0	PONfbl		VM/DS																					0																																	
13	14	Par	PAR	PAR	S		VM/DS																																				PAR																		
14	15	*Jean	JEAN	JEAN	NOMpro		VM/DS																								JEAN																														
15	16	*de	DE	DE	NOMpro		VM/DS																								DE																														
16	17	*Tournes	TOURNES	TOURNES	NOMpro		VM/DS																								TOURNES																														
17	18	.	.	.	PONfrt		VM/DS																				.																																		
18	19	1547	1547	1547	Zc		VM/DS																																																				1547		
19	20	.	.	.	PONfrt		VM/DS																				.																																		
20	21	SAULSAYE	SAUSSAIE	SAUSSAIE	NOMcom		VM/DS																							SAUSSAIE																															
21	22	.	.	.	PONfrt		VM/DS																				.																																		
22	23	EGLOGUE	ÉGLOGUE	ÉGLOGUE	NOMcom		VM/DS																							ÉGLOGUE																															
23	24	.	.	.	PONfrt		VM/DS																				.																																		
24	25	ANTIRE	ANTIRE	ANTIRE	NOMpro		VM/DS					ENTIER																		RÉ/ENTERRÉ	ANTIRE				ENTERRER																	ENTERRER			_MOT_ETRANGER						
25	26	0	0	0	PONfbl		VM/DS																					0																																	
26	27	PHILERME	PHILERME	PHILERME	NOMpro		VM/DS																								PHILERME																						FILER								
27	28	.	.	.	PONfrt		VM/DS																				.																																		
28	29	Non	NON	NON	R		VM/DS																																			NON																			
29	30	sans	SANS	SANS	S		VM/DS																																				SANS																		
30	31	raison	RAISON	RAISON	NOMcom		VM/DS																							RAISON																															
31	32	je	JE	IL	PROper		VM/DE																															IL																							
32	33	me	LE	LE	PROper		VM/DS																															LE																							
33	34	suis	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE		SUIVRE									
34	35	resveillé	RÉVEILLER	RÉVEILLER	PAGe		VM/DS																												RÉVEILLER																										
35	36	Au	A+LE	A+LE	S+Da		VM/DS									À+LE																											À+LE		A+LE																
36	37	premier	PREMIER	PREMIER	Zo		VM/DS					PREMIER																		PREMIER																														PREMIER	
37	38	somme	SOMME	SOMME	NOMcom		VM/DS																							SOMME																															
38	39	0	0	0	PONfbl		VM/DS																					0																																	
39	40	et	ET	ET	CONcoo		VM/DS							ET																																															
40	41	fort	FORT	FORT	R		VM/DS					FORT																														FORT																			
41	42	esmerveillé	ÉMERVEILLER	ÉMERVEILLER	PAGe		VM/DS																												ÉMERVEILLER																										
42	43	Oyant	OUÏR	OUÏR	PAGa		VM/DS																											OUÏR																											
43	44	0	0	0	PONfbl		VM/DS																					0																																	
44	45	*Philerme	PHILERME	PHILERME	NOMpro		VM/DS																								PHILERME																														
45	46	0	0	0	PONfbl		VM/DS																					0																																	
46	47	une	UN	UN	DETind		VM/DS												UN	UN																																									
47	48	voix	VOIX	VOIX	NOMcom		VM/DS																							VOIX																															
48	49	long	LONG	LONG	Aq		VM/DS					LONG																																																	
49	50	temps	TEMPS	TEMPS	NOMcom		VM/DS																							TEMPS																															
50	51	plaindre	PLAINDRE	PLAINDRE	Vvn		VM/DS																																														PLAINDRE								
51	52	Piteusement	PITEUSEMENT	PITEUSEMENT	R		VM/DS																																			PITEUSEMENT																			
52	53	0	0	0	PONfbl		VM/DS																					0																																	
53	54	&	ET	ET	CONcoo		VM/DS							ET																																															
54	55	qui	QUI	QUI	PROrel		VM/DS																																QUI		QUI																				
55	56	sans	SANS	SANS	S		VM/DS																																				SANS																		
56	57	point	POINT	POINT	R		VM/DS																																			POINT																			
57	58	se	LE	LE	PROper		VM/DS																															LE																							
58	59	feindre	FEINDRE	FEINDRE	Vvn		VM/DS																																														FEINDRE								
59	60	Se	LE	LE	PROper		VM/DS																															LE																							
60	61	lamentant	LAMENTER	LAMENTER	PAGa		VM/DS																											LAMENTER																											
61	62	monstroit	MONTRER	MONTRER	Vvc		VM/DS																																													MONTRER									
62	63	par	PAR	PAR	S		VM/DS																																				PAR																		
63	64	sa	SON	SON	DETpos		VM/DS																SON																																						
64	65	complainte	COMPLAINTE	COMPLAINTE	NOMcom		VM/DS																							COMPLAINTE																															
65	66	Une	UN	UN	DETind		VM/DS												UN	UN																																									
66	67	ame	ÂME	ÂME	NOMcom		VM/DS																							ÂME																															
67	68	triste	TRISTE	TRISTE	Aq		VM/DS					TRISTE																																																	
68	69	0	0	0	PONfbl		VM/DS																					0																																	
69	70	&	ET	ET	CONcoo		VM/DS							ET																																															
70	71	de	DE	DE	S		VM/DS													UN	DU																						DE																		
71	72	douleur	DOULEUR	DOULEUR	NOMcom		VM/DS																							DOULEUR																															
72	73	attainte	ATTEINDRE	ATTEINDRE	PAGe		VM/DS																							ATTEINTE/ATTENTE/ATTEINTE					ATTEINDRE																	ATTENTER/ATTEINDRE/ATTENDRE									
73	74	.	.	.	PONfrt		VM/DS																				.																																		
74	75	Je	IL	IL	PROper		VM/DS																															IL																							
75	76	ne	NE	NE	R		VM/DS																																			NE																			
76	77	povois	POUVOIR	POUVOIR	Vvc		VM/DS																							PAVOIS																						POUVOIR									
77	78	en	EN	EN	S		VM/DS																															EN					EN													EN					
78	79	sommeillant	SOMMEILLER	SOMMEILLER	PAGa		VM/DS																											SOMMEILLER																											
79	80	comprendre	COMPRENDRE	COMPRENDRE	Vvn		VM/DS																																														COMPRENDRE								
80	81	0	0	0	PONfbl		VM/DS																					0																																	
81	82	Que	QUE	QUE	CONsub		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
82	83	ce	CELUI	CELUI	PROdem		VM/DS											CE																		CELUI		CE																							
83	84	fust	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
84	85	toy	LE	LE	PROper		VM/DS																															LE																							
85	86	0	0	0	PONfbl		VM/DS																					0																																	
86	87	qui	QUI	QUI	PROrel		VM/DS																																QUI		QUI																				
87	88	le	LE	LE	PROper		VM/DS										LE																					LE																							
88	89	m'	LE	LE	PROper		VM/DS																															LE																							
89	90	as	AVOIR	AVOIR	Vuc		VM/DS																																										AVOIR	AVOIR											
90	91	fait	FAIRE	FAIRE	PAGe		VM/DS																												FAIRE																	FAIRE									
91	92	entendre	ENTENDRE	ENTENDRE	Vvn		VM/DS																																														ENTENDRE								
92	93	Par	PAR	PAR	S		VM/DS																																				PAR																		
93	94	tant	TANT	TANT	R		VM/DS																																			TANT																			
94	95	de	DE	DE	S		VM/DS													UN	DU																						DE																		
95	96	fois	FOIS	FOIS	NOMcom		VM/DS																							FOIS																															
96	97	:	:	:	PONfbl		VM/DS																					:																																	
97	98	si	SI	SI	R		VM/DS								SI																											SI																			
98	99	bien	BIEN	BIEN	R		VM/DS																																			BIEN																			
99	100	j'	IL	IL	PROper		VM/DS																															IL																							
100	101	eusse	AVOIR	AVOIR	Vuc		VM/DS																																										AVOIR	AVOIR											
101	102	ouvert	OUVRIR	OUVRIR	PAGe		VM/DS																							OUVERT					OUVRIR																										
102	103	l'	LE	LE	DETdef		VM/DS										LE																					LE																							
103	104	oeil	IL	IL	NOMcom		VM/DS																							IL																															
104	105	0	0	0	PONfbl		VM/DS																					0																																	
105	106	Qui	QUI	QUI	PROrel		VM/DS																																QUI		QUI																				
106	107	m'	LE	LE	PROper		VM/DS																															LE																							
107	108	es	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
108	109	congnu	CONNAÎTRE	CONNAÎTRE	PAGe		VM/DS																							CONNU					CONNAÎTRE																										
109	110	plus	PLUS	PLUS	R		VM/DS																																			PLUS																			
110	111	qu'	QUE	QUE	CONsub		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
111	112	à	À	À	S		VM/DS																																				À																		
112	113	toy	LE	LE	PROper		VM/DS																															LE																							
113	114	ce	CE	CE	DETdem		VM/DS											CE																				CE																							
114	115	Soleil	SOLEIL	SOLEIL	NOMcom		VM/DS																							SOLEIL																															
115	116	.	.	.	PONfrt		VM/DS																				.																																		
116	117	Et	ET	ET	CONcoo		VM/DS							ET																																															
117	118	mesmement	MÊMEMENT	MÊMEMENT	R		VM/DS																																			MÊMEMENT																			
118	119	dès	DÈS	DÈS	S		VM/DS																																				DÈS																		
119	120	que	QUE	QUE	CONsub		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
120	121	tu	IL	IL	PROper		VM/DS																															IL																							
121	122	soulois	SOULOIR	SOULOIR	Vvc		VM/DS																																													SOULOIR									
122	123	paistre	PAÎTRE	PAÎTRE	Vvn		VM/DS																																														PAÎTRE								
123	124	Sur	SUR	SUR	S		VM/DS					SUR/SÛR																														SÛR	SUR																		
124	125	la	LE	LE	DETdef		VM/DS										LE																					LE																							
125	126	montaigne	MONTAGNE	MONTAGNE	NOMcom		VM/DS																							MONTAGNE																															
126	127	0	0	0	PONfbl		VM/DS																					0																																	
127	128	&	ET	ET	CONcoo		VM/DS							ET																																															
128	129	non	NON	NON	R		VM/DS																																			NON																			
129	130	en	EN	EN	S		VM/DS																															EN					EN													EN					
130	131	ce	CE	CE	DETdem		VM/DS											CE																				CE																							
131	132	champestre	CHAMPÊTRE	CHAMPÊTRE	Aq		VM/DS					CHAMPÊTRE																																																	
132	133	Lieu	LIEU	LIEU	NOMcom		VM/DS																							LIEU																															
133	134	solitaire	SOLITAIRE	SOLITAIRE	Aq		VM/DS					SOLITAIRE																																																	
134	135	0	0	0	PONfbl		VM/DS																					0																																	
135	136	ou	QUE	QUE	PROrel		VM/DS							OU																									QUE			OU																			
136	137	la	LE	LE	DETdef		VM/DS										LE																					LE																							
137	138	Saulsaye	SAUSSAIE	SAUSSAIE	NOMcom		VM/DS																							SAUSSAIE																															
138	139	espaisse	ÉPAIS	ÉPAIS	Aq		VM/DS					ÉPAIS																																																	
139	140	Soubs	SOUS	SOUS	S		VM/DS																																				SOUS																		
140	141	doulce	DOUX	DOUX	Aq		VM/DS					DOUX																																																	
141	142	horreur	HORREUR	HORREUR	NOMcom		VM/DS																							HORREUR																															
142	143	est	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
143	144	de	DE	DE	S		VM/DS													UN	DU																						DE																		
144	145	mort	MORT	MORT	NOMcom		VM/DS																							MORT																															
145	146	une	UN	UN	DETind		VM/DS												UN	UN																																									
146	147	espece	ESPÈCE	ESPÈCE	NOMcom		VM/DS																							ESPÈCE																															
147	148	0	0	0	PONfbl		VM/DS																					0																																	
148	149	Ou	QUE	QUE	PROrel		VM/DS							OU																									QUE			OU																			
149	150	nul	NUL	NUL	PROind		VM/DS					NUL											SON														NUL																								
150	151	(	(	(	PONfbl		VM/DS																			(		(																																	
151	152	fors	FORS	FORS	S		VM/DS					FORT																		FOR/FORT													FORS																		
152	153	toy	LE	LE	PROper		VM/DS																															LE																							
153	154	0	0	0	PONfbl		VM/DS																					0																																	
154	155	&	ET	ET	CONcoo		VM/DS							ET																																															
155	156	tout	TOUT	TOUT	DETind		VM/DS			TOUT									TOUT																		TOUT																								
156	157	desespoir	DÉSESPOIR	DÉSESPOIR	NOMcom		VM/DS																							DÉSESPOIR																															
157	158	)	)	)	PONfbl		VM/DS																			)		)																																	
158	159	vient	VENIR	VENIR	Vvc		VM/DS																																													VENIR									
159	160	.	.	.	PONfrt		VM/DS																				.																																		
160	161	Car	CAR	CAR	CONcoo		VM/DS							CAR																CAR																															
161	162	je	IL	IL	PROper		VM/DS																															IL																							
162	163	t'	LE	LE	PROper		VM/DS																															LE																							
163	164	ay	AVOIR	AVOIR	Vuc		VM/DS																																										AVOIR	AVOIR											
164	165	veu	VOIR	VOIR	PAGe		VM/DS																												VOIR																										
165	166	(	(	(	PONfbl		VM/DS																			(		(																																	
166	167	&	ET	ET	CONcoo		VM/DS							ET																																															
167	168	tresbien	TRÈS BIEN	TRÈS BIEN	E		VM/DS																		TRÈS BIEN					BIEN/BIAN																															
168	169	m'	LE	LE	PROper		VM/DS																															LE																							
169	170	en	LE	LE	PROper		VM/DS																															LE					EN													EN					
170	171	souvient	SOUVENIR	SOUVENIR	Vvc		VM/DS																																													SOUVENIR									
171	172	)	)	)	PONfbl		VM/DS																			)		)																																	
172	173	Quand	QUAND	QUAND	CONsub		VM/DS								QUAND																																														
